Borough,Start_Time,End_Time,Student_Enrollment,Percent_White,Percent_Black,Percent_Hispanic,Percent_Asian,Average_SAT_Math,Male_Percent,Disabilities_Percent,EngLearner_Percent,Poverty_Percent,Parent_Response_Rate,Teacher_Response_Rate,Instructional_Core_Satisfaction,Systems_for_Improvement_Satisfaction,School_Culture_Satisfaction,Class_Hours,weighted
Bronx,172.441250650424,323.327344969544,12221.7736398488,5.65530273634409,76.3259317924092,87.5606159281074,34.6916858080429,128.930318405868,1847.27689759266,521.634783217532,43.4315496002031,2155.5156331303,387.992813963453,2155.5156331303,1918.40891348596,1875.29860082336,1875.29860082336,150.886094319121,21.555156331303
Bronx,182.14107099951,366.43765763215,10152.4786320437,10.1310017046716,79.5143733207574,86.1818411684048,28.201318460934,129.52090757781,1239.42148904992,416.014517194147,41.0002250904336,2155.5156331303,387.992813963453,1530.41609952251,1832.18828816075,1724.41250650424,1724.41250650424,177.830039733249,21.555156331303
Bronx,172.441250650424,323.327344969544,8384.95581287685,7.25271166151341,82.101052271018,83.9765961046314,26.3786707430225,128.041319987101,1064.82472276637,515.168236318141,43.7170525334433,2155.5156331303,560.434064613877,1595.08156851642,1961.51922614857,1939.96406981727,1939.96406981727,150.886094319121,21.555156331303
Bronx,182.14107099951,333.027165318631,10475.8059770132,22.1936074990849,65.1057306077997,92.9488627554495,14.9408958375715,127.582682337246,909.627597180985,532.412361383183,65.9309091240421,1933.49752291788,560.434064613877,1918.40891348596,1832.18828816075,1810.63313182945,1789.07797549815,150.886094319121,21.555156331303
Bronx,172.441250650424,333.027165318631,64988.7963388784,66.8229739282372,21.4096972435805,37.1345033366564,89.2716750119994,141.636409487925,1217.86633271862,28.0217032306939,-49.6325816456144,1026.02544137002,517.323751951271,1013.09234757124,1832.18828816075,1853.74344449205,1918.40891348596,167.052461567598,21.555156331303
Bronx,160.585914668207,311.472008987328,9936.92706873067,15.9925754536735,35.9476812319095,96.014152324661,40.67608129295,127.232184267826,1127.33467612714,75.4430471595604,96.6561632009818,2071.45052343821,948.42687857733,1724.41250650424,1918.40891348596,1896.85375715466,1875.29860082336,150.886094319121,21.555156331303
Bronx,182.14107099951,333.027165318631,11424.2328555906,18.8708654968317,61.6951874400278,93.7152228934762,20.5961985739156,130.805862239481,1243.73252031618,549.656486448226,65.625157099288,1806.32210056319,129.330937987818,1573.52641218512,1896.85375715466,1767.52281916684,1853.74344449205,150.886094319121,21.555156331303
Bronx,172.441250650424,333.027165318631,9268.71722246027,5.65530273634409,69.725524138651,91.6077502215118,8.73986379216014,130.044116671103,797.54078425821,301.772188638241,21.4096972435805,1879.60963208962,905.316565914724,2004.62953881118,1918.40891348596,1875.29860082336,1918.40891348596,167.052461567598,21.555156331303
Bronx,172.441250650424,323.327344969544,8104.73878056991,84.7088096778512,30.4140447997568,58.7992941649143,67.7726938962031,140.233192473763,1163.97844189036,75.4430471595604,-49.6325816456144,607.855408542744,883.761409583421,1918.40891348596,2004.62953881118,1918.40891348596,2069.29500780508,150.886094319121,21.555156331303
Bronx,172.441250650424,311.687560550641,45459.8247027179,28.201318460934,74.5014463869283,86.2213556732036,46.6307660132202,131.444944471991,1183.37808258853,400.925907762235,66.4310511979334,1694.23528764041,258.661875975636,1767.52281916684,1659.74703751033,1702.85735017293,1573.52641218512,145.856557841817,21.555156331303
Bronx,172.441250650424,333.027165318631,12092.442701861,-11.0109261783113,-49.6325816456144,99.1787697634257,-49.6325816456144,128.601225657305,1120.86812922775,211.240532046769,90.8886572927305,2129.64944553273,905.316565914724,1745.96766283554,1961.51922614857,1896.85375715466,1939.96406981727,167.052461567598,21.555156331303
Bronx,158.430399035077,335.182680951761,10260.2544137002,50.8885770694811,75.6919108984765,83.4443429800177,40.67608129295,130.301034567603,1213.55530145236,497.924111253098,35.1185345351826,1866.67653829084,495.768595619968,2155.5156331303,1832.18828816075,1724.41250650424,1745.96766283554,179.626302760858,21.555156331303
Bronx,175.674524100119,333.027165318631,10540.4714460071,40.67608129295,77.0629320047389,83.8887949391127,37.1345033366564,130.198634582474,1041.11405080193,409.547970294756,15.9925754536735,1618.79224048085,797.54078425821,2069.29500780508,1918.40891348596,1853.74344449205,1875.29860082336,161.663672484772,21.555156331303
Bronx,177.830039733249,326.56061841924,7630.52534128125,51.8820780906657,53.5625513048747,87.4117023387332,60.8152629663881,126.635050339091,1041.11405080193,66.8209846270392,92.7164598967915,2112.40532046769,1832.18828816075,1465.7506305286,1918.40891348596,1875.29860082336,1896.85375715466,147.293568263904,21.555156331303
Bronx,175.674524100119,348.115774750543,14808.3923996051,48.7526571719747,75.947761455159,81.3719470355049,53.0168219958074,133.433216313238,1213.55530145236,351.349048200238,23.6807596297316,1659.74703751033,840.651096920816,1983.07438247987,1918.40891348596,1939.96406981727,1918.40891348596,172.441250650424,21.555156331303
Bronx,177.830039733249,335.182680951761,9204.05175346636,48.5269466663432,72.5081314565164,87.2241018827483,24.3875493867569,130.095745812747,1161.82292625723,403.081423395365,21.4096972435805,1782.61142859876,991.537191239936,2155.5156331303,1832.18828816075,1810.63313182945,1789.07797549815,161.663672484772,21.555156331303
Bronx,178.907797549815,372.904204531541,9225.60690979767,-49.6325816456144,-49.6325816456144,99.2867076771616,-49.6325816456144,124.134028032543,1172.60050442288,56.0434064613877,97.5613746000778,2144.73805496465,2026.18469514248,2155.5156331303,2090.85016413639,2069.29500780508,2026.18469514248,193.996406981727,21.555156331303
Bronx,178.907797549815,333.027165318631,7285.6428399804,30.933471291245,66.6279033088328,91.5461640186698,29.3360623660757,130.705838132704,905.316565914724,178.907797549815,26.3786707430225,1823.56622562823,323.327344969544,2047.73985147378,1853.74344449205,1789.07797549815,1832.18828816075,156.274883401946,21.555156331303
Bronx,178.907797549815,323.327344969544,9592.04456742982,0,62.4218345511348,94.0472729462061,3.92996965926023,126.935685007829,1187.68911385479,551.812002081356,68.8597388300518,1996.00747627865,668.209846270392,1314.86453620948,1789.07797549815,1745.96766283554,1702.85735017293,140.108516153469,21.555156331303
Bronx,172.441250650424,329.793891868935,14420.3995856417,12.6698334514204,66.9198511984168,91.791460052259,31.4406748414751,130.705838132704,1120.86812922775,493.613079986838,51.4901553603618,1883.92066335588,1336.41969254078,2155.5156331303,1983.07438247987,1896.85375715466,1983.07438247987,161.663672484772,21.555156331303
Bronx,178.907797549815,331.949407502066,8966.94503382203,12.6698334514204,70.4760696200775,90.7611116168501,21.4096972435805,131.396451411423,1166.13395752349,487.146533087447,55.4530588019361,1952.89716361605,323.327344969544,1271.75422354687,2004.62953881118,1939.96406981727,1896.85375715466,154.478620374338,21.555156331303
Bronx,172.441250650424,344.882501300847,8837.61409583421,5.65530273634409,45.8743671288166,94.5359498127151,45.0904568733121,126.635050339091,1135.95673865967,0,95.6858307664644,2118.87186736708,2112.40532046769,1767.52281916684,1875.29860082336,1832.18828816075,1875.29860082336,172.441250650424,21.555156331303
Bronx,172.441250650424,323.327344969544,10497.3611333445,13.8352608583003,73.3850723110314,90.0457919205242,18.8708654968317,128.930318405868,1034.64750390254,633.721596140307,33.8117613344032,2155.5156331303,474.213439288665,1595.08156851642,1832.18828816075,1767.52281916684,1853.74344449205,150.886094319121,21.555156331303
Bronx,178.907797549815,323.327344969544,7026.98096400477,5.65530273634409,74.9056174093657,88.8913817162001,30.4140447997568,127.173209795111,1196.31117638731,661.743299371001,50.6842612617165,2155.5156331303,431.103126626059,2047.73985147378,1896.85375715466,1810.63313182945,1853.74344449205,140.108516153469,21.555156331303
Bronx,177.830039733249,326.56061841924,13730.63458304,17.9534863546346,74.0201310323714,88.504258299329,37.1345033366564,130.095745812747,1306.24247367696,586.300252211441,41.6342459843662,1827.87725689449,1207.08875455297,2069.29500780508,1853.74344449205,1745.96766283554,1724.41250650424,147.293568263904,21.555156331303
Bronx,172.441250650424,334.104923135196,6789.87424436043,7.25271166151341,70.3115256429519,90.856841558052,32.4206234218918,128.821178140642,1422.640317866,767.363565394386,62.8930042689769,2155.5156331303,1142.42328555906,1939.96406981727,1961.51922614857,1961.51922614857,1896.85375715466,168.848724595206,21.555156331303
Bronx,178.907797549815,311.472008987328,7436.52893429952,21.4096972435805,84.4103160962001,80.2037728740712,27.6107292889919,128.379005582631,0,474.213439288665,33.3579518078371,1937.80855418414,517.323751951271,1336.41969254078,1659.74703751033,1638.19188117903,1638.19188117903,134.719727070644,21.555156331303
Bronx,172.441250650424,305.867668341189,6617.43299371001,23.6807596297316,69.8102203432255,90.9204261361103,15.9925754536735,128.545885045825,1010.93683193811,590.611283477701,50.0594303727541,1838.65483506014,129.330937987818,1120.86812922775,1659.74703751033,1551.97125585381,1508.86094319121,136.15673749273,21.555156331303
Bronx,172.441250650424,311.472008987328,9699.82034908633,7.25271166151341,70.4760696200775,90.1447446099791,40.0127933798146,130.955033466878,1043.26956643506,588.455767844571,51.6870074712612,2155.5156331303,1659.74703751033,1918.40891348596,1767.52281916684,1616.63672484772,1659.74703751033,145.497305236295,21.555156331303
Bronx,154.119367768816,323.327344969544,8061.62846790731,22.1936074990849,85.1696760571015,76.3883201321462,43.7170525334433,129.52090757781,870.82831578464,206.929500780508,25.7351854553785,1618.79224048085,538.878908282574,1939.96406981727,1832.18828816075,1573.52641218512,1789.07797549815,167.052461567598,21.555156331303
Bronx,172.441250650424,323.327344969544,44360.5117298215,17.9534863546346,85.0449592790983,80.9727660657752,19.7507899704714,129.146954966372,1280.3762860794,394.459360862844,34.2562132934982,1472.21717742799,258.661875975636,1357.97484887209,1875.29860082336,1853.74344449205,1789.07797549815,150.886094319121,21.555156331303
Queens,165.221133350761,336.638059202177,32073.5525117166,41.3358492516999,36.6574548826531,89.0847586886394,51.6612603688366,126.937935737375,1286.65957596905,287.071719196948,28.1077610716096,1732.75663601611,227.179058357297,1858.73775019607,1776.12718352069,1734.821900183,1734.821900183,175.547454185184,20.6526416688452
Queens,171.416925851415,315.985417533331,8694.76214258382,53.9048361601777,52.4907952358459,82.5734064116994,57.2612813754995,125.471944594315,834.366723421345,285.006455030064,38.0122120522827,1623.29763517123,764.147741747272,2065.26416688452,1776.12718352069,1672.86397517646,1776.12718352069,144.568491681916,20.6526416688452
Queens,165.221133350761,279.843294612852,10615.4578177864,40.4811352119007,32.3960624687213,90.4228328850515,44.1980196223087,122.516534148095,1168.93951845664,318.050681700216,-47.5544648376306,2065.26416688452,743.495100078427,1528.29548349454,1838.08510852722,1838.08510852722,1879.39039186491,122.194796540667,20.6526416688452
Queens,185.873775019607,315.985417533331,10636.1104594553,62.7788501433967,57.2612813754995,82.4974774965104,36.6574548826531,125.894880364058,1022.30576260784,377.943342539867,18.0807421248464,1404.37963348147,1631.55869183877,2065.26416688452,1962.00095854029,1920.6956752026,1962.00095854029,134.242170847494,20.6526416688452
Queens,165.221133350761,336.638059202177,44774.9271380564,49.7097748386774,38.3374572256187,80.4184753547296,70.9209072296311,128.79750646096,1668.73344684269,187.939039186491,20.5132729549265,2065.26416688452,309.789625032678,1962.00095854029,1838.08510852722,1879.39039186491,1838.08510852722,175.547454185184,20.6526416688452
Queens,196.200095854029,333.54016295185,18050.4088185707,69.1117758996505,41.3358492516999,73.0702144282323,69.8264714935137,128.140508183983,900.45517676165,183.808510852722,24.0221368817438,1464.27229432112,681.537175071891,1672.86397517646,1796.77982518953,1734.821900183,1858.73775019607,132.52111737509,20.6526416688452
